task,architecture,seed,checkpoint_path,layer,component,ablation_strength_r,scale,base_test_acc,ablated_test_acc,delta_test_acc,base_test_loss,ablated_test_loss,base_val_acc,ablated_val_acc,delta_val_acc,status
key_value,standard,0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_key_value/checkpoints/model_best_val.pt,1,attn,0.0,1.0,1.0,1.0,0.0,2.1464154921583636e-06,2.1464154921583636e-06,1.0,1.0,0.0,ok
key_value,standard,0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_key_value/checkpoints/model_best_val.pt,1,attn,0.05,0.95,1.0,1.0,0.0,2.1464154921583636e-06,4.436858830558776e-06,1.0,1.0,0.0,ok
key_value,standard,0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_key_value/checkpoints/model_best_val.pt,1,attn,0.1,0.9,1.0,1.0,0.0,2.1464154921583636e-06,1.0073317222728898e-05,1.0,1.0,0.0,ok
key_value,standard,0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_key_value/checkpoints/model_best_val.pt,1,attn,0.25,0.75,1.0,1.0,0.0,2.1464154921583636e-06,0.00020344212316558696,1.0,1.0,0.0,ok
key_value,standard,0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_key_value/checkpoints/model_best_val.pt,1,attn,0.5,0.5,1.0,0.9823333333333333,0.01766666666666672,2.1464154921583636e-06,0.10145421760777633,1.0,0.9792857142857143,0.020714285714285685,ok
key_value,standard,0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_key_value/checkpoints/model_best_val.pt,1,attn,0.75,0.25,1.0,0.31933333333333336,0.6806666666666666,2.1464154921583636e-06,2.7609784801801047,1.0,0.2842857142857143,0.7157142857142857,ok
key_value,standard,0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_key_value/checkpoints/model_best_val.pt,1,attn,0.9,0.09999999999999998,1.0,0.064,0.9359999999999999,2.1464154921583636e-06,6.562825759251912,1.0,0.056428571428571425,0.9435714285714286,ok
key_value,standard,0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_key_value/checkpoints/model_best_val.pt,1,attn,1.0,0.0,1.0,0.03666666666666667,0.9633333333333334,2.1464154921583636e-06,9.843713204065958,1.0,0.025,0.975,ok
key_value,standard,1,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/standard_key_value/checkpoints/model_best_val.pt,1,attn,0.0,1.0,1.0,1.0,0.0,2.5542337122412087e-06,2.5542337122412087e-06,1.0,1.0,0.0,ok
key_value,standard,1,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/standard_key_value/checkpoints/model_best_val.pt,1,attn,0.05,0.95,1.0,1.0,0.0,2.5542337122412087e-06,5.355591876347414e-06,1.0,1.0,0.0,ok
